dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
148,2.269670146033514,0.4633081393598121,0.43445832556404995,0.9224137931034483,0.234771728515625,21,0.2434680878720915,15386
149,2.2933898077412476,0.6149896845520261,0.48529915180099653,0.7801724137931034,0.2979278564453125,20,0.2909090909090909,19525
150,3.1281286243607855,0.5247980431914003,0.3032289002557545,0.8189655172413793,0.248809814453125,22,0.30271065865325647,16306
151,3.1995994699575174,0.4675765829176485,0.269969246114205,0.9913793103448276,0.2331390380859375,23,0.29255841350873746,15279
152,1.5792717871415773,0.7078421628068781,0.21620329257462942,0.7672413793103449,0.27166748046875,21,0.19680970568411593,17804
153,2.3519240702975317,0.6036437762772328,0.39743400678366025,0.5905172413793104,0.216888427734375,20,0.2990713381173491,14214
154,1.972255516269721,0.689096655254148,0.5691154422788606,0.5603448275862069,0.2395477294921875,21,0.26275558952799544,15699
155,1.8658555513043653,0.7015157751570358,0.627906976744186,1.303370786516854,0.299072265625,22,0.19413265306122449,19600
156,2.064125978130236,0.6940858356882916,0.633727329281715,0.6077586206896551,0.260467529296875,18,0.20785002929115406,17070
157,2.2615997681831557,0.6432539743609473,0.7003498494833618,0.6767241379310345,0.3188934326171875,21,0.1937413273362362,20899
158,1.6154696494664385,0.7682985169829374,0.5401582354351474,0.6379310344827587,0.2940673828125,20,0.26229763387297633,19272
159,1.806065639712029,0.7232963447529518,0.3756451216515114,0.9181034482758621,0.341644287109375,18,0.23184457347029924,22390
160,2.2108996389938382,0.6544443425917438,0.6114664058385374,0.8793103448275862,0.326812744140625,20,0.33709963582033803,21418
161,1.6943100728511082,0.6660789945119003,0.5727138445011414,0.4396551724137931,0.1787109375,22,0.2593920765027322,11712
162,1.5839601460639874,0.7602293620866963,0.5275516593613024,0.8362068965517241,0.3722381591796875,22,0.22065997130559542,24395
163,1.832469116696787,0.5870976288250099,0.8289864641795972,0.9913793103448276,0.338134765625,21,0.2063176895306859,22160
164,1.8529265176896965,0.6978491516327457,0.3802563893198334,0.5775862068965517,0.2579345703125,22,0.29892333175579744,16904
165,1.6611009222496034,0.7522816359736706,0.6198878838068543,0.8706896551724138,0.3880157470703125,20,0.25577097015218847,25429
166,2.2783586399947784,0.6959847036328872,0.4436002337814144,0.6637931034482759,0.263824462890625,21,0.28860613071139385,17290
167,1.7295775688427388,0.7424810898657732,0.5954988359058377,1.6338028169014085,0.2823333740234375,21,0.27373939361184674,18503
168,2.2537064502921416,0.5600200484504219,0.41743604200436957,1.099526066350711,0.306884765625,22,0.31995823389021477,20112
169,2.815200858678152,0.4533333333333333,0.14900491082967174,1.681159420289855,0.1356658935546875,20,0.3188617703295467,8891
170,3.0965774199277645,0.4838826991106556,0.379063412795628,1.2677595628415301,0.22332763671875,20,0.27746652090735174,14636
171,1.8935414329161977,0.6634251985222303,0.6082973028618489,1.6934306569343065,0.2383880615234375,20,0.20284196377136274,15623
172,1.9576719160493607,0.6280239792519947,0.4741849634065203,0.8793103448275862,0.3380889892578125,22,0.1653653472943088,22157
173,1.0327322217696107,0.9058323376587291,0.8808054001038481,1.0740740740740742,0.4974365234375,20,0.11322085889570552,32600
174,1.095606959346441,0.9068673233827339,0.7163726111463162,0.771551724137931,0.3926239013671875,20,0.15261746531421244,25731
175,1.234102700141595,0.8394280048263586,0.760964362688587,0.9310344827586207,0.5360870361328125,18,0.1937210030455697,35133
176,1.889518104162445,0.6554693313489954,0.372051624388073,0.6551724137931034,0.282257080078125,22,0.2499729700508163,18498
177,1.71420411524805,0.7245963428920694,0.5758515646635282,1.0,0.43414306640625,20,0.17970617179811613,28452
178,2.0548086218500057,0.6879391940341316,0.5045871559633027,0.6982758620689655,0.29278564453125,22,0.258599124452783,19188
179,1.3886230145213312,0.8636066822658758,0.7204726543444089,0.8275862068965517,0.4843292236328125,21,0.16829967549856653,31741
180,1.5062444963903137,0.757673022537606,0.3294973665783785,0.7974137931034483,0.3331756591796875,20,0.22276162125028623,21835
181,2.2706854904206284,0.5151746384100447,0.5221356835417094,0.7413793103448276,0.2266387939453125,19,0.23793173096344172,14853
182,1.6965371603366746,0.8024807419775779,0.650467505483089,0.9094827586206896,0.43634033203125,21,0.19796475031472932,28596
183,1.9263691431183227,0.7187641159996386,0.5907757931218341,1.2747252747252746,0.36419677734375,20,0.15694653929948046,23868
184,2.1834889286410952,0.5558563436202851,0.5256021298990775,0.9741379310344828,0.3759765625,21,0.1929383116883117,24640
185,2.8942834413009537,0.43256825047288333,0.4377404522848832,0.8706896551724138,0.233795166015625,21,0.2393943349432189,15322
186,2.096306818920207,0.6947776927813124,0.5575539568345323,0.6896551724137931,0.2841033935546875,19,0.25613620495193085,18619
