file,role,occupancy,aspect,eff_colors,regions,small_regions,contour,solidity,symmetry,edge_density,complexity
84.png,zako,0.1414453125,0.6027397260273972,48,21,46,2.9065145078670076,0.44961817843173774,0.1628131021194605,0.4675504004418669,1.0
85.png,zako,0.197265625,0.821917808219178,50,32,49,3.7274769899606417,0.4103689257272875,0.29420809841107126,0.5625742574257425,1.0
86.png,cute,0.3716796875,1.0977443609022557,44,23,44,1.674438632325651,0.6429054054054054,0.4136086762739563,0.28733578560168155,0.848731905468965
87.png,cool,0.441796875,1.006896551724138,50,16,28,1.6127510926324065,0.796647178981475,0.5699611327040534,0.24305923961096376,0.806362637372394
88.png,gag,0.312890625,1.46,51,48,89,1.3017538224438923,0.8625424002584396,0.6590720795360397,0.4297128589263421,0.812865379675811
89.png,gag,0.2301171875,1.972972972972973,48,25,54,1.37458676742686,0.8377417519908987,0.5960444324031428,0.4265829231030385,0.8280389098805958
9.png,starter,0.496640625,0.9178082191780822,55,28,33,1.4085178635167532,0.8192538179006379,0.5626843657817109,0.30352367468931885,0.8041236713588695
90.png,zako,0.51546875,1.028169014084507,46,20,29,1.3260737384382377,0.8212852030496344,0.6523916854495367,0.27258260078811763,0.7663204293667114
91.png,cool,0.41546875,1.0503597122302157,50,33,36,1.5728008976294348,0.696825760801913,0.6206003352125552,0.4225272658894321,0.8693335203394656
92.png,cool,0.509140625,1.0138888888888888,50,21,15,1.6851578364694615,0.8098418714467676,0.7769597818677574,0.18313641245972073,0.7814988242376183
93.png,cool,0.2826171875,1.1587301587301588,47,19,39,2.003146621428243,0.6131096139994068,0.4043090062111801,0.3108500345542502,0.9328889025003841
94.png,cool,0.44015625,0.9726027397260274,49,18,17,1.4536470630087823,0.7785800656417343,0.6456842412735505,0.22115725949591764,0.7586146444574414
95.png,solo,0.38265625,0.9452054794520548,54,32,65,1.8868121717641053,0.6463873309138898,0.542191435768262,0.402919559003675,0.9347525357841886
96.png,gag,0.4115234375,0.7534246575342466,40,15,17,1.4621415889975395,0.7594161110109929,0.6502192982456141,0.22781205505457996,0.7469637248870645
97.png,gag,0.37296875,0.9315068493150684,47,24,39,2.176758297933447,0.6157020796388845,0.5688465330266185,0.3422706325932132,0.9900050671316103
98.png,zako,0.26546875,1.6404494382022472,50,23,58,2.350851087166139,0.6439569810963187,0.7945603379984156,0.45747498528546204,1.0
99.png,zako,0.2410546875,1.6222222222222222,45,21,36,2.3233871092514233,0.6455020920502093,0.4887816646562123,0.4385026737967914,1.0
